,mean,date
453499.0,15186.856815944877,2011-09-01
453801.0,15422.661602334583,2011-09-01
453803.0,15545.964018667515,2011-09-01
453805.0,15262.753934818218,2011-09-01
453807.0,15261.902491853094,2011-09-01
453809.0,15180.0509376039,2011-09-01
454061.0,15203.02083056325,2011-09-01
454063.0,15216.744594604155,2011-09-01
454065.0,15194.75763310356,2011-09-01
454067.0,15101.48078984662,2011-09-01
454069.0,15077.369867342695,2011-09-01
452100.0,15041.305103375891,2011-09-01
452300.0,15077.088248456355,2011-09-01
453141.0,15113.788109287972,2011-09-01
453143.0,15159.003435020111,2011-09-01
453145.0,15103.097766584446,2011-09-01
453147.0,15145.743894952311,2011-09-01
453149.0,15085.536617639487,2011-09-01
453210.0,15087.113657519309,2011-09-01
453230.0,15124.736036153548,2011-09-01
453250.0,15082.068762689085,2011-09-01
453270.0,15080.639133061282,2011-09-01
453291.0,15096.062306816784,2011-09-01
453293.0,15112.664616928005,2011-09-01
453295.0,15105.284712620398,2011-09-01
453297.0,15110.519386969208,2011-09-01
453299.0,15115.137109613104,2011-09-01
453410.0,15171.106945756615,2011-09-01
453430.0,15158.614019473513,2011-09-01
453450.0,15159.693351242984,2011-09-01
453461.0,15150.922688215553,2011-09-01
453463.0,15133.835621499256,2011-09-01
453478.0,15216.286027290496,2011-09-01
453481.0,15090.60914097332,2011-09-01
453483.0,15292.5374068969,2011-09-01
453485.0,15177.005387204295,2011-09-01
453492.0,15198.05904524198,2011-09-01
453494.0,15130.414138070237,2011-09-01
453487.0,15218.05360501329,2011-09-01
453489.0,15118.069560822529,2011-09-01
453496.0,15212.164884914971,2011-09-01
453498.0,15247.514956129637,2011-09-01
453806.0,15249.733957801023,2011-09-01
453808.0,15136.061223555447,2011-09-01
454062.0,15217.967949654334,2011-09-01
454064.0,15096.249312735912,2011-09-01
454066.0,15127.69321052656,2011-09-01
454068.0,15071.737714224037,2011-09-01
452411.0,15091.130147416492,2011-09-01
452413.0,15165.367301691816,2011-09-01
452415.0,15108.60703034793,2011-09-01
452417.0,15149.134811941743,2011-09-01
452419.0,15168.874111583104,2011-09-01
452431.0,15172.37525385452,2011-09-01
452433.0,15119.222452254748,2011-09-01
452435.0,15100.583192940236,2011-09-01
452437.0,15107.425887328482,2011-09-01
453146.0,15148.65348063038,2011-09-01
453148.0,15091.047416696583,2011-09-01
453240.0,15096.219866775127,2011-09-01
453260.0,15078.28324422433,2011-09-01
453280.0,15084.07706449328,2011-09-01
453292.0,15063.739038411208,2011-09-01
453294.0,15095.616241348132,2011-09-01
453296.0,15129.263137915012,2011-09-01
453298.0,15107.946841814632,2011-09-01
453464.0,15130.984971796994,2011-09-01
453482.0,15195.410399155367,2011-09-01
453484.0,15220.29342826174,2011-09-01
453486.0,15248.961195223088,2011-09-01
453488.0,15168.465356414332,2011-09-01
452438.0,15075.142587818444,2011-09-01
453471.0,15225.049038321962,2011-10-01
453473.0,15190.33142740904,2011-10-01
453475.0,15199.11657639857,2011-10-01
453477.0,15212.938056131774,2011-10-01
453479.0,15264.625678688244,2011-10-01
