JD,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2016,y2018,y2019,y2020,y2021
137.0,258.72,257.65,256.22,255.76,255.0,255.0,254.08,254.78,254.91,255.67,254.15,254.27,257.04,256.46,0.0,256.55,255.82,255.7,257.56,0.0
138.0,258.63,257.65,256.16,255.73,254.94,254.94,254.08,254.75,254.88,255.61,254.15,254.24,256.98,256.4,257.53,256.55,255.76,255.7,257.56,0.0
139.0,258.53,257.65,256.1,255.64,254.91,254.88,254.05,254.75,254.88,255.61,254.11,254.24,256.89,256.34,257.53,0.0,255.7,255.7,257.53,0.0
140.0,258.47,257.65,256.04,255.55,254.88,254.82,253.99,254.72,254.85,255.55,254.08,254.21,256.83,256.28,0.0,256.52,255.67,255.7,257.5,0.0
141.0,258.41,257.62,256.0,255.46,254.82,254.75,253.96,254.69,254.82,255.18,254.08,254.24,256.8,256.22,257.53,256.52,255.61,255.7,257.47,0.0
142.0,258.38,257.56,255.97,255.43,254.75,254.69,253.96,254.66,254.82,255.15,254.05,254.24,256.74,256.16,257.47,256.49,255.61,255.67,257.44,0.0
143.0,258.35,257.53,255.94,255.36,254.69,254.63,253.93,254.63,254.78,255.12,254.02,254.24,256.71,256.1,257.41,256.49,255.57,255.67,257.41,0.0
144.0,258.32,257.5,255.91,255.3,254.66,254.57,253.9,254.57,254.78,255.12,254.02,254.24,256.64,256.04,257.35,256.49,255.54,255.67,257.38,0.0
145.0,258.29,257.47,255.88,255.24,254.6,254.51,253.9,254.54,254.78,255.12,253.99,254.24,256.58,255.97,257.31,256.46,255.51,255.67,257.35,0.0
146.0,258.23,257.44,255.85,255.18,254.57,254.42,253.9,254.51,254.78,255.09,253.99,254.21,256.52,255.91,257.28,256.46,255.45,255.67,257.32,0.0
147.0,258.17,257.41,255.82,255.12,254.54,254.42,253.9,254.48,254.78,255.03,253.99,254.21,256.43,255.85,257.25,256.43,255.39,255.67,257.29,0.0
148.0,258.11,257.38,255.79,255.03,254.48,254.33,253.9,254.42,254.78,254.97,253.96,254.21,256.37,255.82,0.0,256.37,255.36,255.64,257.22,0.0
149.0,258.05,257.38,255.73,254.47,254.48,254.27,253.9,254.36,254.78,254.97,253.96,254.18,256.28,255.79,0.0,256.34,255.33,255.64,257.16,0.0
150.0,258.0,257.35,255.64,254.88,254.42,254.27,253.9,254.3,254.75,254.97,253.96,254.18,256.22,255.76,0.0,256.34,255.3,255.64,257.1,0.0
151.0,257.9,257.25,255.55,254.71,254.39,254.21,253.87,254.24,254.75,254.97,253.96,254.15,256.13,255.73,256.83,256.31,255.27,255.64,257.04,0.0
152.0,257.83,257.19,255.49,254.6,254.33,254.18,253.87,254.18,254.75,254.94,253.93,254.15,256.07,255.7,0.0,256.25,255.27,255.61,256.92,0.0
153.0,257.74,257.13,255.43,254.51,254.27,254.11,253.87,254.15,254.75,254.94,253.93,254.11,255.97,255.67,0.0,256.19,255.27,255.61,256.92,0.0
154.0,257.68,257.07,255.33,254.51,254.24,254.05,253.87,254.11,254.72,254.91,253.9,254.11,255.91,255.64,256.83,256.13,255.27,255.61,256.86,0.0
155.0,257.59,257.01,255.27,254.42,254.21,253.99,253.87,254.08,254.66,254.88,253.87,254.11,255.85,255.61,256.83,256.07,255.27,255.61,256.79,0.0
156.0,257.53,257.01,255.18,254.33,254.15,253.96,253.9,254.02,254.66,254.85,253.87,254.11,255.76,0.0,256.8,256.04,255.27,255.57,256.76,0.0
157.0,257.47,257.01,255.09,254.24,254.08,253.9,253.87,253.99,254.63,254.82,253.87,254.11,255.7,255.52,256.77,256.0,255.27,255.57,256.73,0.0
158.0,257.41,257.01,255.0,254.21,254.05,253.87,253.84,253.96,254.63,254.82,253.87,254.08,255.64,255.49,256.74,256.0,255.27,255.54,256.7,0.0
159.0,257.38,256.95,254.88,254.15,254.02,253.84,253.81,253.93,254.63,254.75,253.84,254.08,255.58,255.43,256.68,255.97,255.24,255.54,256.64,0.0
160.0,257.35,256.92,254.78,254.08,253.99,253.81,253.78,253.9,254.63,254.72,253.84,254.05,255.52,255.36,256.61,255.97,255.24,255.54,256.58,0.0
